"as_of_date","days_delinquent_old","days_delinquent_new","new_outstanding_principal_balance","initial_loan_amount","fico","sales_channel__c","type","current_collection_method","term","lender_payoff","average_bank_balance__c","last_cleared_payment_date"
2012-11-01,180,180,29383.75,50000,641,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,46445.21,2012-11-01
2012-11-01,9,9,3200.41,10000,631,"Referral","Loan - Renewal","ACH Pull",6,0,1284.07,2012-11-01
2012-11-01,56,75,56207.38,60000,671,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",9,0,29415.7,2012-07-30
2012-11-01,19,30,47496.37,50000,626,"Direct","Loan - New Customer","ACH Pull",6,0,61028.12,2012-10-04
2012-11-01,35,54,21012.15,25000,587,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,2046.37,2012-09-07
2012-11-01,12,26,15423.23,20000,706,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,2773.77,2012-11-01
2012-11-01,180,180,1409.18,25000,NA,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,10393.84,2012-09-17
2012-11-01,1,6,8556.03,10000,654,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2346.46,2012-10-31
2012-11-01,1,0,809.36,10000,593,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2262,2012-10-31
2012-11-01,46,65,2381.85,15000,537,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,1407.21,3176.13,2012-08-27
2012-11-01,3,6,23345.52,25000,716,"FAP: Managed Application Program","Loan - New Customer","Split Funding",6,0,423.57,2012-11-01
2012-11-01,2,0,20395.49,30000,631,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,2105.21,2012-11-01
2012-11-01,1,0,17000,17000,647,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3905.75,2012-10-31
2012-11-01,47,66,18719.52,20000,541,"Direct","Loan - New Customer","ACH Pull",6,0,5756.67,2012-08-28
2012-11-01,4,9,15000,15000,734,"Direct","Loan - New Customer","ACH Pull",6,0,2994.42,2012-10-30
2012-11-01,3,13,58902.55,75000,686,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,15785.22,2012-10-31
2012-11-01,61,80,20000,20000,687,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,3291.55,2012-07-11
2012-11-01,29,42,35000,35000,584,"FAP: Managed Application Program","Loan - New Customer","Split Funding",6,8689.75,2072.33,2012-11-01
2012-11-01,61,68,6158.95,17500,611,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3603.82,2012-11-01
2012-11-01,6,1,3888.58,10000,694,"Direct","Loan - New Customer","ACH Pull",6,0,2833.9,2012-11-01
2012-11-01,2,2,61915.93,75000,648,"Direct","Loan - New Customer","ACH Pull",12,37500,7804.34,2012-11-01
2012-11-01,180,180,15817.58,50000,794,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",9,0,15080.6,2012-10-19
2012-11-01,17,33,33000,33000,619,"FAP: Managed Application Program","Loan - New Customer","Split Funding",18,16892.7,4245.33,2012-11-01
2012-11-01,41,60,35000,35000,689,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,49921.18,2012-09-04
2012-11-01,21,38,13585.53,35000,696,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,34422,2012-10-26
2012-11-01,4,23,8150.82,10000,620,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,2594.94,2012-10-26
2012-11-01,27,0,807.42,12000,589,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1380.65,2012-10-18
2012-11-01,6,0,6101.18,10000,710,"Referral","Loan - New Customer","ACH Pull",6,0,1132.31,2012-11-01
2012-11-01,1,0,91478.8,100000,735,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,33993.01,2012-11-01
2012-11-01,4,12,20000,20000,624,"FAP: Managed Application Program","Loan - New Customer","Split Funding",12,0,1425.57,2012-10-31
2012-11-01,60,79,8939.01,10000,682,"Direct","Loan - New Customer","ACH Pull",6,0,5361.88,2012-08-02
2012-11-01,1,0,12401.77,20000,595,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,5619.88,4785.48,2012-11-01
2012-11-01,7,26,13906.14,15000,582,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,1430,2442.23,2012-10-23
2012-11-01,5,5,52347.64,75000,704,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",9,0,26570.71,2012-11-01
2012-11-01,15,15,10561.71,15000,533,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4857.34,2012-11-01
2012-11-01,4,4,21427.83,25000,653,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",12,6181.72,1726.75,2012-11-01
2012-11-01,1,0,4911.25,15000,654,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4287.2,2012-10-31
2012-11-01,14,24,16504.69,25000,631,"Direct","Loan - New Customer","ACH Pull",6,0,8233.01,2012-10-12
2012-11-01,55,74,30951.37,35000,562,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,9880.33,5794,2012-08-14
2012-11-01,33,52,35000,35000,652,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,28789.89,2012-09-14
2012-11-01,12,14,14852.94,20000,704,"Direct","Loan - New Customer","ACH Pull",6,0,15511.94,2012-11-01
2012-11-01,4,4,36610.05,47000,564,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,2197.4,2012-11-01
2012-11-01,3,4,16178.39,25000,659,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,6426.22,2012-10-30
2012-11-01,5,6,43801,50000,636,"Direct","Loan - Renewal","ACH Pull",9,0,9629.66,2012-11-01
2012-11-01,14,16,36321.94,61000,639,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,13903.19,2012-11-01
2012-11-01,5,0,3113.79,10000,574,"Direct","Loan - New Customer","ACH Pull",6,0,2106.54,2012-11-01
2012-11-01,1,1,12364.36,15000,704,"Direct","Loan - Renewal","ACH Pull",6,0,4934.08,2012-11-01
2012-11-01,61,80,48538.22,50000,644,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,136249.24,2012-07-03
2012-11-01,7,13,4932.64,15000,597,"Direct","Loan - New Customer","ACH Pull",6,0,7056.35,2012-11-01
2012-11-01,2,18,5349.44,6000,612,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",5,0,1123.34,2012-10-31
2012-11-01,7,21,20292.34,35000,691,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,143727.37,2012-10-26
2012-11-01,52,53,29250.66,75000,688,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,15578.94,2012-11-01
2012-11-01,31,50,7320.17,11500,549,"Direct","Loan - New Customer","ACH Pull",6,0,4241.14,2012-10-02
2012-11-01,2,19,3824.42,15000,658,"Direct","Loan - New Customer","ACH Pull",6,0,4627.3,2012-11-01
2012-11-01,12,27,16000,16000,557,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,3810.52,2012-10-16
2012-11-01,30,42,7982.6,15000,535,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,17811.53,2012-11-01
2012-11-01,2,6,4837.85,7000,577,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1505,2012-10-30
2012-11-01,30,49,11651.34,15000,519,"Referral","Loan - New Customer","ACH Pull",6,0,49554.72,2012-09-19
